disease_name,description,Possible Steps,image_url,supplement name,supplement image,buy link,
Tomato Bacterial Spot,"Bacterial spot causes small, dark, water-soaked spots on leaves and fruit. It thrives in warm, wet conditions.",Use copper-based bactericides. Avoid overhead watering and remove infected plants.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWHXfB95bq8BYQZi7MKg7xrr4h2XifON-Feg&s,Bonide Copper Fungicide,https://tangletowngardens-shoppe.com/cdn/shop/products/DSC_7946.jpg?v=1658943923,https://www.amazon.in/Bonide-Copper-Fungicide-Rtu-Natural/dp/B010FYCAP8,
Tomato Healthy,"Healthy tomato plants show vibrant green leaves, strong stems, and no signs of pests or disease.","Maintain proper spacing, watering, and fertilization. Monitor regularly for signs of pests or disease.",https://www.tomatobible.com/wp-content/uploads/2022/03/pruning-tomatoes-peppers-6174-1.jpg,Espoma Tomato-tone Organic Fertilizer,https://www.espoma.com/wp-content/uploads/2023/07/TomatoTone2023_square-1030x1030.png,https://www.amazon.in/Tomato-tone-Organic-Fertilizer-YOUR-TOMATOES/dp/B0011UEKKE,
Tomato Early Blight,"Early blight is a fungal disease that causes concentric brown spots on older leaves, often leading to defoliation.",Apply fungicides like chlorothalonil. Rotate crops and remove infected debris.,https://www.rainbowgardens.biz/wp-content/uploads/2021/04/IMG-6377.jpg,Southern Ag Liquid Copper Fungicide,https://m.media-amazon.com/images/I/61BUbDQ11gL.jpg,https://www.amazon.in/16-Oz-Southern-Liquid-Fungicide/dp/B0052NL4FK,
Tomato Late Blight,"Late blight causes dark, greasy lesions on leaves and fruit. It spreads rapidly in cool, wet weather.",Use resistant varieties. Apply fungicides and ensure good air circulation.,https://content.ces.ncsu.edu/media/images/IMG_5813.jpg,Bonide Fung-onil Multi-Purpose Fungicide,https://files.plytix.com/api/v1.1/file/public_files/pim/assets/43/37/8d/5e/5e8d3743202d9eba64d3af60/images/b3/02/e4/63/63e402b33535b1c55a4d3990/8836_Front.jpg,https://www.desertcart.in/products/21993160-bonide-fung-onil-multi-purpose-fungicide-32-oz-ready-to,
Tomato Leaf Mold,Leaf mold appears as yellow spots on the upper leaf surface and olive-green mold underneath.,Use resistant cultivars and improve air flow. Apply organic or chemical fungicides.,https://blogs.cornell.edu/livegpath/files/2021/02/leaf_mold_tomato1x1200.jpg,Garden Safe Brand Fungicide3,https://m.media-amazon.com/images/I/71wXyYYhjTL.jpg,https://www.amazon.in/Garden-Safe-BrandFungicide3-Concentrate-28-Ounce/dp/B00FQGS7LC,
Tomato Septoria Leaf Spot,"This fungal disease forms circular, grayish-tan lesions with dark borders on leaves.",Remove infected leaves. Apply fungicides such as mancozeb or chlorothalonil.,https://cdn.mos.cms.futurecdn.net/FetkYJQL4n7taBqjiHSiQ9.jpg,Bonide Mancozeb Flowable Fungicide,https://m.media-amazon.com/images/I/51eEsgwdqOL.jpg,https://www.desertcart.in/products/20972254-bonide-bnd-861-fungal-disease-control-mancozeb-flowable-with-zinc-fungicide-concentrate-8-oz,
Tomato Spider Mites (Two-Spotted),"Spider mites cause yellow speckling and webbing on leaves, leading to leaf drop.",Use insecticidal soap or neem oil. Increase humidity and release natural predators.,https://plantpath.ifas.ufl.edu/u-scout/tomato/images/spider-mite-damage/22161DD2C3964DF39A98F053EB87FBF3/7-22.png,Natria Neem Oil Spray,https://m.media-amazon.com/images/I/510MVrH4aSL.jpg,https://www.desertcart.in/products/374439554-natria-neem-oil-spray-for-plants-controls-aphids-gnats-spider,
Tomato Target Spot,Target spot appears as brown spots with concentric rings on leaves and fruits.,Remove infected leaves and apply appropriate fungicides.,https://media.sciencephoto.com/c0/06/53/33/c0065333-800px-wm.jpg,Daconil Fungicide Concentrate,https://images-cdn.ubuy.co.in/665f792571b0916cfa77b58e-1-pc-daconil-100526103-multi-purpose.jpg,https://www.desertcart.in/products/8527965-daconil-fungicide-concentrate-for-insects-16-oz-100523634,
Tomato Yellow Leaf Curl Virus,"A viral disease causing leaf curling, yellowing, and stunted growth, transmitted by whiteflies.",Control whiteflies with insecticides and use resistant varieties.,https://www.shutterstock.com/image-photo/disease-leaves-ripening-green-tomatoes-260nw-1117204655.jpg,Monterey Garden Insect Spray,https://www.dahlias.com/media/catalog/product/cache/a358763d5ba8480742ed3bd18ab60db5/9/5/952-monterey_garden_insect_spray-001.jpg,https://www.amazon.in/32-Ounce-Monterey-Spinosad-Concentrate/dp/B002BP12LI,
Tomato Mosaic Virus,"Mosaic virus causes mottled light and dark green patterns on leaves, reducing yield.",Use resistant seeds. Avoid smoking near plants and disinfect tools.,https://www.shutterstock.com/image-photo/disease-leaves-ripening-green-tomatoes-260nw-1117204655.jpg,GreenGuard 20% Vinegar Concentrate,https://m.media-amazon.com/images/I/71K-OUHl9WL.jpg,https://www.amazon.in/20-Pure-Vinegar-Concentrated-Industrial/dp/B09S7TN1BJ,
Tomato Powdery Mildew,"Powdery mildew presents as white, powdery fungal growth on leaf surfaces, usually in dry climates.",Apply sulfur-based fungicides. Ensure good air circulation and remove infected leaves.,https://vegetablegrowersnews.com/wp-content/uploads/2020/09/Powdery-mildew-on-tomato.jpg,Bonide 142 Sulfur Plant Fungicide,https://images-cdn.ubuy.co.in/65e1fa538856ca56ec040057-bonide-sulfur-plant-fungicide-4-lb.jpg,https://www.desertcart.in/products/225176495-bonide-142-4-lb-sulfur-plant-fungicide-quantity-1010,
